,GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
Tmem14a,Tmem14a,45.12672163,0.371728067,0.126685733,2.934253586,0.003343509,0.013196599,OK
Gsta3,Gsta3,24.73204225,0.007074916,0.163059911,0.043388448,0.965391886,0.978909792,OK
Gm4956,Gm4956,0.022471933,-0.001612519,0.029756493,-0.054190492,0.956783396,NaN,Low
Khdc1a,Khdc1a,0,NaN,NaN,NaN,NaN,NaN,Low
Khdc1c,Khdc1c,0,NaN,NaN,NaN,NaN,NaN,Low
Khdc1b,Khdc1b,0,NaN,NaN,NaN,NaN,NaN,Low
Kcnq5,Kcnq5,3.983565921,-0.102583357,0.142201563,-0.721394023,0.470667123,NaN,Low
Rims1,Rims1,6.161000889,-0.238361873,0.161294966,-1.477801068,0.139461032,NaN,Low
4933415F23Rik,4933415F23Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Mir30a,Mir30a,0,NaN,NaN,NaN,NaN,NaN,Low
Mir30c-2,Mir30c-2,0.199578823,0.047996147,0.039786311,1.206348256,0.227683238,NaN,Low
Ogfrl1,Ogfrl1,121.1839383,0.226603218,0.129419121,1.750925337,0.079958772,0.158500611,OK
B3gat2,B3gat2,4.487340444,0.214596827,0.153944104,1.393991854,0.163320065,NaN,Low
Smap1,Smap1,987.2438185,0.026714094,0.055485375,0.4814619,0.630188252,0.738502697,OK
Sdhaf4,Sdhaf4,223.3740433,0.200571338,0.083224558,2.410001842,0.01595244,0.045594022,OK
Fam135a,Fam135a,4328.122786,0.023726186,0.082464275,0.287714724,0.773565119,0.849304378,OK
Col9a1,Col9a1,0.094569335,-0.020698122,0.032167204,-0.643454207,0.51992942,NaN,Low
Col19a1,Col19a1,2.981664286,-0.105432954,0.145131195,-0.726466519,0.467552826,NaN,Low
Lmbrd1,Lmbrd1,1613.071579,0.21695441,0.046577288,4.657944264,3.19E-06,4.33E-05,OK
Adgrb3,Adgrb3,307.9594792,0.334792985,0.068438337,4.891892497,9.99E-07,1.59E-05,OK
Gm20172,Gm20172,0,NaN,NaN,NaN,NaN,NaN,Low
4931408C20Rik,4931408C20Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Gm597,Gm597,0,NaN,NaN,NaN,NaN,NaN,Low
Mir6342,Mir6342,0,NaN,NaN,NaN,NaN,NaN,Low
Phf3,Phf3,2049.736589,0.05719008,0.04427331,1.291750715,0.196443488,0.317834661,OK
Ptp4a1,Ptp4a1,110.0058418,0.095187106,0.101711135,0.93585728,0.349346675,0.485525458,OK
Gm13363,Gm13363,0,NaN,NaN,NaN,NaN,NaN,Low
4931428L18Rik,4931428L18Rik,0,NaN,NaN,NaN,NaN,NaN,Low
Lgsn,Lgsn,0.027315779,-0.003020154,0.029852003,-0.101170895,0.919414801,NaN,Low
Pih1d3,Pih1d3,0,NaN,NaN,NaN,NaN,NaN,Low
Gm4850,Gm4850,0,NaN,NaN,NaN,NaN,NaN,Low
Khdrbs2,Khdrbs2,6.275743459,-0.434227078,0.162552349,-2.671306078,0.007555672,NaN,Low
Gm9839,Gm9839,0,NaN,NaN,NaN,NaN,NaN,Low
Gm5415,Gm5415,0,NaN,NaN,NaN,NaN,NaN,Low
Prim2,Prim2,114.9899691,0.003965781,0.094704939,0.041875124,0.966598247,0.979555519,OK
1700001G17Rik,1700001G17Rik,13.71446799,0.049551011,0.162897328,0.304185537,0.760986543,0.839915278,OK
Rab23,Rab23,449.3775867,0.211826728,0.051555346,4.108724755,3.98E-05,0.000349081,OK
Bag2,Bag2,498.1165039,0.129033712,0.089512474,1.441516535,0.14943881,0.258893047,OK
Zfp451,Zfp451,583.425277,0.019519644,0.048574475,0.401849825,0.687794551,0.784755388,OK
Gm15455,Gm15455,5.991517353,-0.144767936,0.164042106,-0.882504736,0.37750392,NaN,Low
Bend6,Bend6,8.557558691,-0.215566637,0.163358212,-1.319594741,0.18697036,NaN,Low
