"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"FNIP2",3.9911956856296e-11,-0.374316839893264,0.565,0.716,2.4434499106993e-06
"NPTX2",4.3458651262571e-11,0.504207362382486,0.891,0.818,2.66058208894586e-06
"EZR",4.49701600747724e-11,-0.29098893891583,0.757,0.893,2.75311816993764e-06
"P2RY1",7.47481668294113e-11,-0.307695907499125,0.291,0.469,4.57615752146339e-06
"HSPA6",7.73743107479832e-11,-1.11500953423423,0.017,0.104,4.73693267830228e-06
"GOLGA4",7.86945830623738e-11,-0.325782818311786,0.921,0.934,4.81776106966159e-06
"EDEM3",1.0147879887373e-10,-0.440474956168525,0.604,0.73,6.21263354584865e-06
"C1orf127",1.12090056210159e-10,0.310302624105983,0.688,0.554,6.86226533124217e-06
"LINC00511",1.33388391907673e-10,0.257120654181789,0.773,0.663,8.16617074097966e-06
"MAGED1",1.46455145708656e-10,0.346144221055571,0.872,0.82,8.96613047542961e-06
"ATP6AP1",1.54208911424024e-10,0.347478687690384,0.91,0.901,9.44082376629019e-06
"SLC25A6",1.68063150254643e-10,0.263839505915126,0.944,0.901,1.02889941217395e-05
"SND1",1.74997109481262e-10,0.276356973049851,0.813,0.727,1.07134980395523e-05
"ARF1",1.88867396695582e-10,0.325051891107703,0.949,0.934,1.15626508931002e-05
"PACSIN2",1.94447453458091e-10,-0.323644701175583,0.332,0.512,1.19042675481578e-05
"PRSS23",2.02339625274855e-10,0.281817010096715,0.888,0.796,1.23874341989519e-05
"ADIPOR1",2.21843006212051e-10,0.409878983920462,0.798,0.749,1.3581450683308e-05
"DAZAP2",2.24962646036448e-10,0.274135078208189,0.888,0.862,1.37724381529974e-05
"GANAB",2.26521670353381e-10,0.255730974135747,0.634,0.509,1.38678831807043e-05
"ADNP",2.68594363640129e-10,-0.413026326532123,0.607,0.727,1.64436155364124e-05
"FNDC3B",2.78846775512677e-10,-0.251567771460185,0.572,0.728,1.70712784436616e-05
"ZC3H4",2.85456953622037e-10,-0.265388551912209,0.347,0.51,1.74759601576947e-05
"KCNK16",2.89358517227929e-10,0.253742649818191,0.812,0.694,1.7714817783211e-05
"FBXW7",3.2704176528494e-10,-0.31368123569122,0.573,0.758,2.00218239125093e-05
"ATP13A3",4.61467856615315e-10,-0.28007195314746,0.593,0.739,2.82515236498462e-05
"CYB561",4.62830217083037e-10,0.316382617113798,0.696,0.587,2.83349287200406e-05
"AK6",5.53668222886981e-10,-0.25097638329604,0.382,0.552,3.38961222733639e-05
"KRT8",5.58914494448161e-10,0.328062467521873,0.858,0.81,3.42173042646109e-05
"XRCC6",5.67598819255542e-10,0.275033095652922,0.913,0.824,3.47489673136435e-05
"HIST1H4C",6.52848610147435e-10,-0.256673282066352,0.751,0.849,3.99680447618361e-05
"DDX17",7.91562502539691e-10,-0.324555433762368,0.84,0.894,4.84602479679824e-05
"RPN1",9.86837820387154e-10,0.328263960257883,0.84,0.803,6.04151982019219e-05
"GAPDH",1.01470221159151e-09,0.403045753872461,0.908,0.867,6.21210840958437e-05
"RBMX",1.05286346576421e-09,0.258533143432408,0.869,0.837,6.44573542375505e-05
"COPG1",1.05714833210788e-09,0.321592415547082,0.729,0.642,6.47196780399765e-05
"SEMA6A",1.06149173282476e-09,-0.281643006779909,0.36,0.524,6.49855853752649e-05
"ATP5F1A",1.11337400594966e-09,0.263924477489604,0.953,0.922,6.8161870018244e-05
"WSCD2",1.13141587957579e-09,0.312061993630002,0.555,0.407,6.92664115635094e-05
"CRIP2",1.17506393898096e-09,0.253270528884435,0.804,0.718,7.19385894083533e-05
"OTULINL",1.5395129954951e-09,0.333309017087846,0.696,0.599,9.42505250972055e-05
"SLF2",1.5958128150745e-09,-0.272478763055589,0.441,0.604,9.76972563516763e-05
"ZC3HAV1",1.62917948861825e-09,-0.326013734237796,0.505,0.682,9.97399974726981e-05
"CXCL8",1.92256587664161e-09,-0.322754023864305,0.107,0.23,0.000117701405533876
"SKIL",1.96472480005401e-09,-0.464850359180075,0.558,0.721,0.000120282416984106
"XBP1",1.9736586940274e-09,0.334219258576292,0.944,0.933,0.000120829358907051
"CHD9",2.07694510281786e-09,-0.413535720918257,0.794,0.863,0.000127152656139612
"CPEB4",2.10563195718431e-09,-0.480070580949493,0.824,0.884,0.000128908894050781
"AC058791.1",2.45073948252941e-09,-0.419631599516533,0.248,0.398,0.000150036721859933
"INO80D",3.07298423659904e-09,-0.384586805694078,0.386,0.562,0.00018813116794883
"RIN2",3.1779913077342e-09,-0.90073070668066,0.717,0.792,0.000194559805850795
"ASPH",4.01044471521613e-09,0.255579793671756,0.844,0.796,0.000245523435910247
"CASR",4.1474222532478e-09,0.278341199713533,0.802,0.711,0.000253909337766084
"RBM3",4.91491883981659e-09,0.26457398484616,0.854,0.78,0.000300896246292412
"CHORDC1",6.29460326979767e-09,-0.285213710050295,0.447,0.621,0.000385361906780283
"SYNJ2",6.41107247952293e-09,-0.266150898116242,0.534,0.689,0.000392492268268873
"RPL38",6.56128863790603e-09,-0.257123865370099,0.983,0.988,0.000401688651701245
"TRA2A",7.1554860219582e-09,-0.416177594586846,0.826,0.882,0.000438066009750303
"USP11",7.17548269888700e-09,0.31705688400099,0.782,0.694,0.000439290226308561
"TKT",1.04057758427665e-08,0.266114188781911,0.659,0.559,0.000637052002870009
"GC",1.08634677516804e-08,-0.417997686275825,0.441,0.554,0.000665072359225625
"TMED3",1.30716652595472e-08,0.265552035806981,0.855,0.789,0.000800260418854739
"HES1",1.60454076407832e-08,-0.279031704135476,0.431,0.578,0.000982315901176387
"IPO7",1.75419259975761e-08,-0.304978032526076,0.534,0.663,0.00107393425149761
"RPS6KA3",1.92543198365553e-08,-0.275715469112422,0.6,0.728,0.00117876871471375
"FAM167A",2.06217023927361e-08,0.260463462906843,0.617,0.507,0.0012624812421857
"ZBTB38",3.65593467285471e-08,-0.338165342513883,0.553,0.718,0.00223819976606838
